# Pin Out For ECP5-5G-85,,,,,,,,,,
# Revision 0.0,,,,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,,,,
,,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CABGA756,CABGA554,CABGA381,CSFBGA285
374,PR71D,3,-,Comp_OF_PR71C,-,RDQ77,W28,N23,-,-
375,VCCIO3,-,-,-,-,-,-,-,-,-
376,PR71B,3,-,Comp_OF_PR71A,TRUE,RDQ77,Y27,P22,-,-
377,PR71C,3,-,True_OF_PR71D,-,RDQ77,Y28,P21,-,-
378,VSSIO3,-,-,-,-,-,-,-,-,-
379,PR71A,3,-,True_OF_PR71B,TRUE,RDQ77,Y26,P23,-,-
380,PR68D,3,-,Comp_OF_PR68C,-,RDQ65,W32,-,-,-
381,VCCIO3,-,-,-,-,-,-,-,-,-
382,PR68B,3,-,Comp_OF_PR68A,TRUE,RDQ65,U32,-,-,-
383,PR68C,3,-,True_OF_PR68D,-,RDQ65,V32,-,-,-
384,VSSIO3,-,-,-,-,-,-,-,-,-
385,PR68A,3,-,True_OF_PR68B,TRUE,RDQ65,T32,-,-,-
386,PR65D,3,-,Comp_OF_PR65C,-,RDQ65,Y30,-,-,-
387,VSS,-,-,-,-,-,-,-,-,-
388,PR65B,3,-,Comp_OF_PR65A,TRUE,RDQSN65,T31,-,-,-
389,PR65C,3,-,True_OF_PR65D,-,RDQ65,W30,-,-,-
390,VCC,-,-,-,-,-,-,-,-,-
391,PR65A,3,-,True_OF_PR65B,TRUE,RDQS65,R32,-,-,-
392,PR62D,3,-,Comp_OF_PR62C,-,RDQ65,U30,-,-,-
393,VSS,-,-,-,-,-,-,-,-,-
394,PR62B,3,-,Comp_OF_PR62A,TRUE,RDQ65,P32,-,-,-
395,PR62C,3,-,True_OF_PR62D,-,RDQ65,U31,-,-,-
396,VCCAUX,-,-,-,-,-,-,-,-,-
397,PR62A,3,-,True_OF_PR62B,TRUE,RDQ65,N32,-,-,-
398,PR59D,3,-,Comp_OF_PR59C,-,RDQ65,T30,-,-,-
399,VCCIO3,-,-,-,-,-,-,-,-,-
400,PR59B,3,-,Comp_OF_PR59A,TRUE,RDQ65,P30,-,-,-
401,PR59C,3,-,True_OF_PR59D,-,RDQ65,R30,-,-,-
402,VSSIO3,-,-,-,-,-,-,-,-,-
403,PR59A,3,-,True_OF_PR59B,TRUE,RDQ65,P31,-,-,-
404,PR56D,3,-,Comp_OF_PR56C,-,RDQ53,V26,M24,R17,H1
405,VCCIO3,-,-,-,-,-,-,-,-,-
406,PR56B,3,VREF1_3,Comp_OF_PR56A,TRUE,RDQ53,V29,N25,P16,J1
407,PR56C,3,-,True_OF_PR56D,-,RDQ53,V27,N24,R16,F1
408,VSSIO3,-,-,-,-,-,-,-,-,-
409,PR56A,3,-,True_OF_PR56B,TRUE,RDQ53,U29,N26,N17,J2
410,PR53D,3,-,Comp_OF_PR53C,-,RDQ53,U28,L26,P17,-
411,VSS,-,-,-,-,-,-,-,-,-
412,PR53B,3,-,Comp_OF_PR53A,TRUE,RDQSN53,T28,M26,M17,G1
413,PR53C,3,-,True_OF_PR53D,-,RDQ53,T29,K26,N18,-
414,VCC,-,-,-,-,-,-,-,-,-
415,PR53A,3,-,True_OF_PR53B,TRUE,RDQS53,R29,L25,N16,F2
416,PR50D,3,-,Comp_OF_PR50C,-,RDQ53,U26,L24,M18,H2
417,VSS,-,-,-,-,-,-,-,-,-
418,PR50B,3,-,Comp_OF_PR50A,TRUE,RDQ53,T27,J26,L17,G3
419,PR50C,3,GR_PCLK3_1,True_OF_PR50D,-,RDQ53,U27,K24,L18,J3
420,VCCAUX,-,-,-,-,-,-,-,-,-
421,PR50A,3,GR_PCLK3_0,True_OF_PR50B,TRUE,RDQ53,R27,K25,L16,H3
422,PR47D,3,PCLKC3_0,Comp_OF_PR47C,-,RDQ53,T26,H26,M19,F3
423,VCCIO3,-,-,-,-,-,-,-,-,-
424,PR47B,3,PCLKC3_1,Comp_OF_PR47A,TRUE,RDQ53,P29,J24,M20,G4
425,PR47C,3,PCLKT3_0,True_OF_PR47D,-,RDQ53,R26,H25,L19,F4
426,VSSIO3,-,-,-,-,-,-,-,-,-
427,PR47A,3,PCLKT3_1,True_OF_PR47B,TRUE,RDQ53,P28,H24,L20,H4
428,PR44D,2,PCLKC2_0,Comp_OF_PR44C,-,RDQ41,P26,N22,K20,D1
429,VCCIO2,-,-,-,-,-,-,-,-,-
430,PR44B,2,PCLKC2_1,Comp_OF_PR44A,TRUE,RDQ41,N26,L23,K19,B1
431,PR44C,2,PCLKT2_0,True_OF_PR44D,-,RDQ41,P27,N21,J20,C1
432,VSSIO2,-,-,-,-,-,-,-,-,-
433,PR44A,2,PCLKT2_1,True_OF_PR44B,TRUE,RDQ41,N27,K23,J19,D2
434,PR41D,2,-,Comp_OF_PR41C,-,RDQ41,L27,M23,K18,-
435,VSS,-,-,-,-,-,-,-,-,-
436,PR41B,2,-,Comp_OF_PR41A,TRUE,RDQSN41,N29,J23,H20,B2
437,PR41C,2,GR_PCLK2_0,True_OF_PR41D,-,RDQ41,L26,M21,J18,A2
438,VCC,-,-,-,-,-,-,-,-,-
439,PR41A,2,GR_PCLK2_1,True_OF_PR41B,TRUE,RDQS41,N30,K22,G19,A3
440,PR38D,2,-,Comp_OF_PR38C,-,RDQ41,L29,L22,G20,-
441,VSS,-,-,-,-,-,-,-,-,-
442,PR38B,2,-,Comp_OF_PR38A,TRUE,RDQ41,K26,K21,F19,C2
443,PR38C,2,-,True_OF_PR38D,-,RDQ41,K28,H23,F20,-
444,VCCAUX,-,-,-,-,-,-,-,-,-
445,PR38A,2,-,True_OF_PR38B,TRUE,RDQ41,K27,J21,E20,D3
446,PR35D,2,-,Comp_OF_PR35C,-,RDQ41,J27,H21,E19,C3
447,VCCIO2,-,-,-,-,-,-,-,-,-
448,PR35B,2,-,Comp_OF_PR35A,TRUE,RDQ41,H28,F23,D19,C4
449,PR35C,2,VREF1_2,True_OF_PR35D,-,RDQ41,J26,H22,D20,B4
450,VSSIO2,-,-,-,-,-,-,-,-,-
451,PR35A,2,-,True_OF_PR35B,TRUE,RDQ41,H27,F22,C20,D4
452,PR32D,2,-,Comp_OF_PR32C,-,RDQ29,K29,-,-,-
453,VCCIO2,-,-,-,-,-,-,-,-,-
454,PR32B,2,-,Comp_OF_PR32A,TRUE,RDQ29,L30,-,-,-
455,PR32C,2,-,True_OF_PR32D,-,RDQ29,J29,-,-,-
456,VSSIO2,-,-,-,-,-,-,-,-,-
457,PR32A,2,-,True_OF_PR32B,TRUE,RDQ29,L31,-,-,-
458,PR29D,2,-,Comp_OF_PR29C,-,RDQ29,L32,-,-,-
459,VSS,-,-,-,-,-,-,-,-,-
460,PR29B,2,-,Comp_OF_PR29A,TRUE,RDQSN29,J32,-,K17,-
461,PR29C,2,-,True_OF_PR29D,-,RDQ29,K32,-,-,-
462,VCC,-,-,-,-,-,-,-,-,-
463,PR29A,2,-,True_OF_PR29B,TRUE,RDQS29,K31,-,K16,-
464,PR26D,2,-,Comp_OF_PR26C,-,RDQ29,K30,-,-,-
465,VSS,-,-,-,-,-,-,-,-,-
466,PR26B,2,-,Comp_OF_PR26A,TRUE,RDQ29,H30,-,-,-
467,PR26C,2,-,True_OF_PR26D,-,RDQ29,J30,-,-,-
468,VCCAUX,-,-,-,-,-,-,-,-,-
469,PR26A,2,-,True_OF_PR26B,TRUE,RDQ29,H31,-,-,-
470,PR23D,2,-,Comp_OF_PR23C,-,RDQ29,H32,-,-,-
471,VCCIO2,-,-,-,-,-,-,-,-,-
472,PR23B,2,-,Comp_OF_PR23A,TRUE,RDQ29,E32,-,-,-
473,PR23C,2,-,True_OF_PR23D,-,RDQ29,F32,-,-,-
474,VSSIO2,-,-,-,-,-,-,-,-,-
475,PR23A,2,-,True_OF_PR23B,TRUE,RDQ29,F31,-,-,-
476,PR20D,2,-,Comp_OF_PR20C,-,RDQ17,D32,F24,J16,-
477,VCCIO2,-,-,-,-,-,-,-,-,-
478,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQ17,E30,F26,H17,A4
479,PR20C,2,-,True_OF_PR20D,-,RDQ17,C32,E23,J17,-
480,VSSIO2,-,-,-,-,-,-,-,-,-
481,PR20A,2,-,True_OF_PR20B,TRUE,RDQ17,F30,F25,H18,A6
482,PR17D,2,-,Comp_OF_PR17C,-,RDQ17,D31,D26,H16,-
483,VSS,-,-,-,-,-,-,-,-,-
484,PR17B,2,-,Comp_OF_PR17A,TRUE,RDQSN17,C31,E26,G18,A7
485,PR17C,2,-,True_OF_PR17D,-,RDQ17,D30,E24,G16,-
486,VCC,-,-,-,-,-,-,-,-,-
487,PR17A,2,-,True_OF_PR17B,TRUE,RDQS17,B32,D25,F17,B6
488,PR14D,2,-,Comp_OF_PR14C,-,RDQ17,F28,B24,F18,-
489,VSS,-,-,-,-,-,-,-,-,-
490,PR14B,2,-,Comp_OF_PR14A,TRUE,RDQ17,E29,D24,E17,C6
491,PR14C,2,-,True_OF_PR14D,-,RDQ17,F29,B26,E18,-
492,VCCAUX,-,-,-,-,-,-,-,-,-
493,PR14A,2,-,True_OF_PR14B,TRUE,RDQ17,D29,D23,D18,D6
494,PR11D,2,-,Comp_OF_PR11C,-,RDQ17,C30,C24,F16,-
495,VCCIO2,-,-,-,-,-,-,-,-,-
496,PR11C,2,-,True_OF_PR11D,-,RDQ17,C29,C23,E16,-
497,VSSIO2,-,-,-,-,-,-,-,-,-
498,PR11B,2,URC_GPLL0C_IN,Comp_OF_PR11A,TRUE,RDQ17,D28,C26,D17,B7
499,PR11A,2,URC_GPLL0T_IN,True_OF_PR11B,TRUE,RDQ17,C28,C25,C18,C7
500,NC,-,-,-,-,-,-,-,-,-
501,NC,-,-,-,-,-,-,-,-,-
502,NC,-,-,-,-,-,-,-,-,-
503,NC,-,-,-,-,-,-,-,-,-
504,NC,-,-,-,-,-,-,-,-,-
505,GND,-,-,-,-,-,-,-,-,-
506,VCC,-,-,-,-,-,-,-,-,-
507,VSS,-,-,-,-,-,-,-,-,-
508,VCC,-,-,-,-,-,-,-,-,-
509,PT121B,1,URC_GPLL1C_IN,Comp_OF_PT121A,-,-,B30,A25,B20,C8
510,VCCIO1,-,-,-,-,-,-,-,-,-
511,PT119B,1,-,Comp_OF_PT119A,-,-,A31,B23,B19,-
512,PT121A,1,URC_GPLL1T_IN,True_OF_PT121B,-,-,B29,A24,A19,B8
513,VSSIO1,-,-,-,-,-,-,-,-,-
514,PT119A,1,-,True_OF_PT119B,-,-,A30,A23,A18,-
515,PT116B,1,-,Comp_OF_PT116A,-,-,A29,D22,B18,-
516,VSS,-,-,-,-,-,-,-,-,-
517,PT114B,1,-,Comp_OF_PT114A,-,-,D26,E21,C17,-
518,PT116A,1,-,True_OF_PT116B,-,-,A28,C22,A17,-
519,VCC,-,-,-,-,-,-,-,-,-
520,PT114A,1,-,True_OF_PT114B,-,-,C26,D21,B17,-
521,PT112B,1,-,Comp_OF_PT112A,-,-,B26,C21,D16,-
522,VSS,-,-,-,-,-,-,-,-,-
523,PT110B,1,-,Comp_OF_PT110A,-,-,F25,A22,B16,-
524,PT112A,1,-,True_OF_PT112B,-,-,A26,B21,C16,-
525,VCCAUX,-,-,-,-,-,-,-,-,-
526,PT110A,1,-,True_OF_PT110B,-,-,E25,A21,A16,-
527,PT107B,1,-,Comp_OF_PT107A,-,-,D25,A19,E15,-
528,VCCIO1,-,-,-,-,-,-,-,-,-
529,PT105B,1,-,Comp_OF_PT105A,-,-,B25,B19,C15,-
530,PT107A,1,-,True_OF_PT107B,-,-,C25,A18,D15,-
531,VSSIO1,-,-,-,-,-,-,-,-,-
532,PT105A,1,-,True_OF_PT105B,-,-,A25,C19,B15,-
533,PT103B,1,-,Comp_OF_PT103A,-,-,F24,D19,-,-
534,VCCIO1,-,-,-,-,-,-,-,-,-
535,PT101B,1,-,Comp_OF_PT101A,-,-,C24,D18,-,-
536,PT103A,1,-,True_OF_PT103B,-,-,D24,E19,A15,-
537,VSSIO1,-,-,-,-,-,-,-,-,-
538,PT101A,1,-,True_OF_PT101B,-,-,A24,C18,-,-
539,PT98B,1,-,Comp_OF_PT98A,-,-,F23,E17,-,-
540,VSS,-,-,-,-,-,-,-,-,-
541,PT96B,1,-,Comp_OF_PT96A,-,-,D23,C17,-,-
542,PT98A,1,-,True_OF_PT98B,-,-,E23,D17,-,-
543,VCC,-,-,-,-,-,-,-,-,-
544,PT96A,1,-,True_OF_PT96B,-,-,C23,B17,-,-
545,PT94B,1,-,Comp_OF_PT94A,-,-,B23,-,-,-
546,VSS,-,-,-,-,-,-,-,-,-
547,PT92B,1,-,Comp_OF_PT92A,-,-,F22,-,-,-
548,PT94A,1,-,True_OF_PT94B,-,-,A23,-,-,-
549,VCCAUX,-,-,-,-,-,-,-,-,-
550,PT92A,1,-,True_OF_PT92B,-,-,E22,-,-,-
551,PT89B,1,-,Comp_OF_PT89A,-,-,D22,-,-,-
552,VCCIO1,-,-,-,-,-,-,-,-,-
553,PT87B,1,-,Comp_OF_PT87A,-,-,B22,-,-,-
554,PT89A,1,-,True_OF_PT89B,-,-,C22,-,-,-
555,VSSIO1,-,-,-,-,-,-,-,-,-
556,PT87A,1,-,True_OF_PT87B,-,-,A22,-,-,-
557,PT85B,1,-,Comp_OF_PT85A,-,-,F20,A17,E14,-
558,VCCIO1,-,-,-,-,-,-,-,-,-
559,PT83B,1,-,Comp_OF_PT83A,-,-,C20,C16,C14,-
560,PT85A,1,-,True_OF_PT85B,-,-,D20,A16,D14,-
561,VSSIO1,-,-,-,-,-,-,-,-,-
562,PT83A,1,-,True_OF_PT83B,-,-,A20,B16,A14,-
563,PT80B,1,-,Comp_OF_PT80A,-,-,F19,E16,E13,-
564,VSS,-,-,-,-,-,-,-,-,-
565,PT78B,1,-,Comp_OF_PT78A,-,-,D19,A15,C13,-
566,PT80A,1,-,True_OF_PT80B,-,-,E19,D16,D13,-
567,VCC,-,-,-,-,-,-,-,-,-
568,PT78A,1,-,True_OF_PT78B,-,-,C19,A14,B13,-
569,PT76B,1,-,Comp_OF_PT76A,-,-,B19,B14,A13,-
570,VCCIO1,-,-,-,-,-,-,-,-,-
571,PT74B,1,GR_PCLK1_1,Comp_OF_PT74A,-,-,F18,C14,E12,-
572,PT76A,1,-,True_OF_PT76B,-,-,A19,B13,A12,-
573,VSSIO1,-,-,-,-,-,-,-,-,-
574,PT74A,1,GR_PCLK1_0,True_OF_PT74B,-,-,D18,C13,D12,-
575,PT71B,1,PCLKC1_0,Comp_OF_PT71A,-,-,C18,D14,C12,A8
576,VSS,-,-,-,-,-,-,-,-,-
577,PT69B,1,PCLKC1_1,Comp_OF_PT69A,-,-,F17,E14,E11,C9
578,PT71A,1,PCLKT1_0,True_OF_PT71B,-,-,A18,D13,B12,A9
579,VCC,-,-,-,-,-,-,-,-,-
580,PT69A,1,PCLKT1_1,True_OF_PT69B,-,-,E17,E13,D11,B9
581,VSS,-,-,-,-,-,-,-,-,-
582,VCC,-,-,-,-,-,-,-,-,-
583,PT65B,0,PCLKC0_0,Comp_OF_PT65A,-,-,D17,A13,C11,C10
584,VCCIO0,-,-,-,-,-,-,-,-,-
585,PT63B,0,PCLKC0_1,Comp_OF_PT63A,-,-,B17,D11,A11,A10
586,PT65A,0,PCLKT0_0,True_OF_PT65B,-,-,C17,A12,B11,B10
587,VSSIO0,-,-,-,-,-,-,-,-,-
588,PT63A,0,PCLKT0_1,True_OF_PT63B,-,-,A17,E11,A10,A11
589,PT60B,0,GR_PCLK0_0,Comp_OF_PT60A,-,-,A16,B11,B10,-
590,VSS,-,-,-,-,-,-,-,-,-
591,PT58B,0,-,Comp_OF_PT58A,-,-,C16,A11,C10,-
592,PT60A,0,GR_PCLK0_1,True_OF_PT60B,-,-,B16,C11,A9,-
593,VCC,-,-,-,-,-,-,-,-,-
594,PT58A,0,-,True_OF_PT58B,-,-,D16,A10,B9,-
595,PT56B,0,-,Comp_OF_PT56A,-,-,E16,B10,E10,-
596,VSS,-,-,-,-,-,-,-,-,-
597,PT54B,0,-,Comp_OF_PT54A,-,-,A15,D10,-,-
598,PT56A,0,-,True_OF_PT56B,-,-,F16,C10,D10,-
599,VCCAUX,-,-,-,-,-,-,-,-,-
600,PT54A,0,-,True_OF_PT54B,-,-,C15,E10,C9,-
601,PT51B,0,-,Comp_OF_PT51A,-,-,D15,C9,-,-
602,VCCIO0,-,-,-,-,-,-,-,-,-
603,PT49B,0,-,Comp_OF_PT49A,-,-,A14,D8,-,-
604,PT51A,0,-,True_OF_PT51B,-,-,F15,D9,-,-
605,VSSIO0,-,-,-,-,-,-,-,-,-
606,PT49A,0,-,True_OF_PT49B,-,-,B14,E8,-,-
607,PT47B,0,-,Comp_OF_PT47A,-,-,C14,-,-,-
608,VCCIO0,-,-,-,-,-,-,-,-,-
609,PT45B,0,-,Comp_OF_PT45A,-,-,E14,-,-,-
610,PT47A,0,-,True_OF_PT47B,-,-,D14,-,-,-
611,VSSIO0,-,-,-,-,-,-,-,-,-
612,PT45A,0,-,True_OF_PT45B,-,-,F14,-,-,-
613,PT42B,0,-,Comp_OF_PT42A,-,-,A13,-,-,-
614,VSS,-,-,-,-,-,-,-,-,-
615,PT40B,0,-,Comp_OF_PT40A,-,-,D13,-,-,-
616,PT42A,0,-,True_OF_PT42B,-,-,C13,-,-,-
617,VCC,-,-,-,-,-,-,-,-,-
618,PT40A,0,-,True_OF_PT40B,-,-,F13,-,-,-
619,PT38B,0,-,Comp_OF_PT38A,-,-,A11,-,-,-
620,VSS,-,-,-,-,-,-,-,-,-
621,PT36B,0,-,Comp_OF_PT36A,-,-,C11,-,-,-
622,PT38A,0,-,True_OF_PT38B,-,-,B11,-,-,-
623,VCCAUX,-,-,-,-,-,-,-,-,-
624,PT36A,0,-,True_OF_PT36B,-,-,D11,-,-,-
625,PT33B,0,-,Comp_OF_PT33A,-,-,E11,-,-,-
626,VCCIO0,-,-,-,-,-,-,-,-,-
627,PT31B,0,-,Comp_OF_PT31A,-,-,A10,-,-,-
628,PT33A,0,-,True_OF_PT33B,-,-,F11,-,-,-
629,VSSIO0,-,-,-,-,-,-,-,-,-
630,PT31A,0,-,True_OF_PT31B,-,-,B10,-,-,-
631,PT29B,0,-,Comp_OF_PT29A,-,-,C10,-,-,-
632,VCCIO0,-,-,-,-,-,-,-,-,-
633,PT27B,0,-,Comp_OF_PT27A,-,-,E10,-,-,-
634,PT29A,0,-,True_OF_PT29B,-,-,D10,-,-,-
635,VSSIO0,-,-,-,-,-,-,-,-,-
636,PT27A,0,-,True_OF_PT27B,-,-,F10,-,-,-
637,PT24B,0,-,Comp_OF_PT24A,-,-,A9,-,-,-
638,VSS,-,-,-,-,-,-,-,-,-
639,PT22B,0,-,Comp_OF_PT22A,-,-,D9,-,-,-
640,PT24A,0,-,True_OF_PT24B,-,-,C9,-,-,-
641,VCC,-,-,-,-,-,-,-,-,-
642,PT22A,0,-,True_OF_PT22B,-,-,F9,-,-,-
643,PT20B,0,-,Comp_OF_PT20A,-,-,A8,C8,E9,-
644,VSS,-,-,-,-,-,-,-,-,-
645,PT18B,0,-,Comp_OF_PT18A,-,-,C8,A9,A8,-
646,PT20A,0,-,True_OF_PT20B,-,-,B8,B8,D9,-
647,VCCAUX,-,-,-,-,-,-,-,-,-
648,PT18A,0,-,True_OF_PT18B,-,-,D8,A8,A7,-
649,PT15B,0,-,Comp_OF_PT15A,-,-,E8,A6,B8,-
650,VCCIO0,-,-,-,-,-,-,-,-,-
651,PT13B,0,-,Comp_OF_PT13A,-,-,A7,B6,D8,-
652,PT15A,0,-,True_OF_PT15B,-,-,F8,A5,C8,-
653,VSSIO0,-,-,-,-,-,-,-,-,-
654,PT13A,0,-,True_OF_PT13B,-,-,B7,C6,E8,-
655,PT11B,0,-,Comp_OF_PT11A,-,-,C7,D6,C7,-
656,VCCIO0,-,-,-,-,-,-,-,-,-
657,PT9B,0,-,Comp_OF_PT9A,-,-,A5,C5,D7,-
658,PT11A,0,-,True_OF_PT11B,-,-,D7,E6,C6,-
659,VSSIO0,-,-,-,-,-,-,-,-,-
660,PT9A,0,-,True_OF_PT9B,-,-,A4,D5,E7,-
661,PT6B,0,-,Comp_OF_PT6A,-,-,A3,A4,D6,-
662,VSS,-,-,-,-,-,-,-,-,-
663,PT4B,0,ULC_GPLL1C_IN,Comp_OF_PT4A,-,-,B4,A3,B6,C11
664,PT6A,0,-,True_OF_PT6B,-,-,A2,B4,E6,-
665,VCC,-,-,-,-,-,-,-,-,-
666,PT4A,0,ULC_GPLL1T_IN,True_OF_PT4B,-,-,B3,A2,A6,B11
667,VSS,-,-,-,-,-,-,-,-,-
668,VCC,-,-,-,-,-,-,-,-,-
669,VCC,-,-,-,-,-,-,-,-,-
670,GND,-,-,-,-,-,-,-,-,-
0,NC,-,-,-,-,-,-,F19,-,-
0,GND,-,-,-,-,-,B31,B25,C19,G2
0,GND,-,-,-,-,-,E31,E25,H19,L2
0,GND,-,-,-,-,-,J31,J25,R19,B3
0,GND,-,-,-,-,-,N31,M25,G17,E5
0,GND,-,-,-,-,-,R31,R25,M16,F5
0,GND,-,-,-,-,-,V31,V25,G15,K5
0,GND,-,-,-,-,-,Y31,AC25,K15,L5
0,GND,-,-,-,-,-,AD31,B22,N15,F6
0,GND,-,-,-,-,-,AH31,E22,B14,G6
0,GND,-,-,-,-,-,AL31,J22,F14,H6
0,GND,-,-,-,-,-,AH29,M22,G14,J6
0,GND,-,-,-,-,-,AL29,R22,J14,K6
0,GND,-,-,-,-,-,B28,V22,K14,L6
0,GND,-,-,-,-,-,E28,H19,M14,M6
0,GND,-,-,-,-,-,J28,B18,N14,E7
0,GND,-,-,-,-,-,N28,E18,P14,F7
0,GND,-,-,-,-,-,R28,J18,F13,G7
0,GND,-,-,-,-,-,V28,K18,G13,H7
0,GND,-,-,-,-,-,AD28,L18,P13,J7
0,GND,-,-,-,-,-,B24,M18,G12,K7
0,GND,-,-,-,-,-,E24,N18,J12,L7
0,GND,-,-,-,-,-,K23,P18,K12,M7
0,GND,-,-,-,-,-,L23,R18,L12,N7
0,GND,-,-,-,-,-,K22,T18,M12,E8
0,GND,-,-,-,-,-,L22,U18,P12,F8
0,GND,-,-,-,-,-,M22,W18,G11,G8
0,GND,-,-,-,-,-,N22,J17,J11,H8
0,GND,-,-,-,-,-,P22,K17,K11,J8
0,GND,-,-,-,-,-,R22,U17,L11,K8
0,GND,-,-,-,-,-,T22,V17,M11,L8
0,GND,-,-,-,-,-,U22,J16,P11,M8
0,GND,-,-,-,-,-,V22,L16,G10,N8
0,GND,-,-,-,-,-,W22,M16,J10,E9
0,GND,-,-,-,-,-,Y22,N16,K10,F9
0,GND,-,-,-,-,-,AA22,P16,L10,G9
0,GND,-,-,-,-,-,AB22,R16,M10,H9
0,GND,-,-,-,-,-,L21,U16,G9,J9
0,GND,-,-,-,-,-,AB21,V16,J9,K9
0,GND,-,-,-,-,-,AC21,B15,K9,L9
0,GND,-,-,-,-,-,B20,E15,L9,M9
0,GND,-,-,-,-,-,E20,J15,M9,N9
0,GND,-,-,-,-,-,L20,L15,F8,E10
0,GND,-,-,-,-,-,N20,M15,G8,F10
0,GND,-,-,-,-,-,P20,N15,P8,G10
0,GND,-,-,-,-,-,R20,P15,B7,H10
0,GND,-,-,-,-,-,T20,R15,F7,J10
0,GND,-,-,-,-,-,U20,U15,G7,K10
0,GND,-,-,-,-,-,V20,V15,J7,L10
0,GND,-,-,-,-,-,W20,J14,K7,M10
0,GND,-,-,-,-,-,Y20,L14,M7,N10
0,GND,-,-,-,-,-,AB20,M14,N7,E11
0,GND,-,-,-,-,-,L19,N14,P7,F11
0,GND,-,-,-,-,-,N19,P14,G6,G11
0,GND,-,-,-,-,-,P19,R14,K6,H11
0,GND,-,-,-,-,-,R19,U14,N6,J11
0,GND,-,-,-,-,-,T19,V14,D4,K11
0,GND,-,-,-,-,-,U19,J13,G4,L11
0,GND,-,-,-,-,-,V19,L13,J2,M11
0,GND,-,-,-,-,-,W19,M13,M2,N11
0,GND,-,-,-,-,-,Y19,N13,-,E12
0,GND,-,-,-,-,-,AB19,P13,-,F12
0,GND,-,-,-,-,-,B18,R13,-,G12
0,GND,-,-,-,-,-,E18,U13,-,H12
0,GND,-,-,-,-,-,L18,V13,-,J12
0,GND,-,-,-,-,-,N18,B12,-,K12
0,GND,-,-,-,-,-,P18,E12,-,L12
0,GND,-,-,-,-,-,R18,J12,-,M12
0,GND,-,-,-,-,-,T18,L12,-,N12
0,GND,-,-,-,-,-,U18,M12,-,F13
0,GND,-,-,-,-,-,V18,N12,-,G13
0,GND,-,-,-,-,-,W18,P12,-,H13
0,GND,-,-,-,-,-,Y18,R12,-,J13
0,GND,-,-,-,-,-,AB18,U12,-,K13
0,GND,-,-,-,-,-,L17,V12,-,L13
0,GND,-,-,-,-,-,N17,J11,-,M13
0,GND,-,-,-,-,-,P17,L11,-,E14
0,GND,-,-,-,-,-,R17,M11,-,F14
0,GND,-,-,-,-,-,T17,N11,-,K14
0,GND,-,-,-,-,-,U17,P11,-,L14
0,GND,-,-,-,-,-,V17,R11,-,B16
0,GND,-,-,-,-,-,W17,U11,-,T16
0,GND,-,-,-,-,-,Y17,J10,-,G17
0,GND,-,-,-,-,-,AB17,K10,-,L17
0,GND,-,-,-,-,-,L16,U10,-,-
0,GND,-,-,-,-,-,N16,B9,-,-
0,GND,-,-,-,-,-,P16,E9,-,-
0,GND,-,-,-,-,-,R16,H9,-,-
0,GND,-,-,-,-,-,T16,J9,-,-
0,GND,-,-,-,-,-,U16,K9,-,-
0,GND,-,-,-,-,-,V16,L9,-,-
0,GND,-,-,-,-,-,W16,M9,-,-
0,GND,-,-,-,-,-,Y16,N9,-,-
0,GND,-,-,-,-,-,AB16,P9,-,-
0,GND,-,-,-,-,-,B15,R9,-,-
0,GND,-,-,-,-,-,E15,T9,-,-
0,GND,-,-,-,-,-,L15,U9,-,-
0,GND,-,-,-,-,-,N15,V9,-,-
0,GND,-,-,-,-,-,P15,W9,-,-
0,GND,-,-,-,-,-,R15,H8,-,-
0,GND,-,-,-,-,-,T15,J8,-,-
0,GND,-,-,-,-,-,U15,B5,-,-
0,GND,-,-,-,-,-,V15,E5,-,-
0,GND,-,-,-,-,-,W15,J5,-,-
0,GND,-,-,-,-,-,Y15,M5,-,-
0,GND,-,-,-,-,-,AB15,R5,-,-
0,GND,-,-,-,-,-,L14,V5,-,-
0,GND,-,-,-,-,-,N14,AC3,-,-
0,GND,-,-,-,-,-,P14,B2,-,-
0,GND,-,-,-,-,-,R14,E2,-,-
0,GND,-,-,-,-,-,T14,J2,-,-
0,GND,-,-,-,-,-,U14,M2,-,-
0,GND,-,-,-,-,-,V14,R2,-,-
0,GND,-,-,-,-,-,W14,V2,-,-
0,GND,-,-,-,-,-,Y14,-,-,-
0,GND,-,-,-,-,-,AB14,-,-,-
0,GND,-,-,-,-,-,B13,-,-,-
0,GND,-,-,-,-,-,E13,-,-,-
0,GND,-,-,-,-,-,L13,-,-,-
0,GND,-,-,-,-,-,N13,-,-,-
0,GND,-,-,-,-,-,P13,-,-,-
0,GND,-,-,-,-,-,R13,-,-,-
0,GND,-,-,-,-,-,T13,-,-,-
0,GND,-,-,-,-,-,U13,-,-,-
0,GND,-,-,-,-,-,V13,-,-,-
0,GND,-,-,-,-,-,W13,-,-,-
0,GND,-,-,-,-,-,Y13,-,-,-
0,GND,-,-,-,-,-,AB11,-,-,-
0,GND,-,-,-,-,-,L12,-,-,-
0,GND,-,-,-,-,-,AB12,-,-,-
0,GND,-,-,-,-,-,AC12,-,-,-
0,GND,-,-,-,-,-,K11,-,-,-
